authority_identifier,authority_name
mapleview_cty_mn,Mapleview
maplewood_cty_mn,Maplewood
marble_cty_mn,Marble
marietta_cty_mn,Marietta
marine-on-saint-croix_cty_mn,Marine on Saint Croix
marshall_cty_mn,Marshall
mayer_cty_mn,Mayer
maynard_cty_mn,Maynard
mazeppa_cty_mn,Mazeppa
mcgrath_cty_mn,McGrath
mcgregor_cty_mn,McGregor
mcintosh_cty_mn,McIntosh
mckinley_cty_mn,McKinley
meadowlands_cty_mn,Meadowlands
medford_cty_mn,Medford
medicine-lake_cty_mn,Medicine Lake
medina_cty_mn,Medina
meire-grove_cty_mn,Meire Grove
melrose_cty_mn,Melrose
menahga_cty_mn,Menahga
mendota_cty_mn,Mendota
mendota-heights_cty_mn,Mendota Heights
mentor_cty_mn,Mentor
middle-river_cty_mn,Middle River
miesville_cty_mn,Miesville
milaca_cty_mn,Milaca
milan_cty_mn,Milan
millerville_cty_mn,Millerville
millville_cty_mn,Millville
milroy_cty_mn,Milroy
miltona_cty_mn,Miltona
minneapolis_cty_mn,Minneapolis
minneiska_cty_mn,Minneiska
minneota_cty_mn,Minneota
minnesota-city_cty_mn,Minnesota City
minnesota-lake_cty_mn,Minnesota Lake
minnetonka_cty_mn,Minnetonka
minnetonka-beach_cty_mn,Minnetonka Beach
minnetrista_cty_mn,Minnetrista
mizpah_cty_mn,Mizpah
montevideo_cty_mn,Montevideo
montgomery_cty_mn,Montgomery
monticello_cty_mn,Monticello
montrose_cty_mn,Montrose
moorhead_cty_mn,Moorhead
moose-lake_cty_mn,Moose Lake
mora_cty_mn,Mora
morgan_cty_mn,Morgan
morris_cty_mn,Morris
morristown_cty_mn,Morristown
morton_cty_mn,Morton
motley_cty_mn,Motley
mound_cty_mn,Mound
mounds-view_cty_mn,Mounds View
mountain-iron_cty_mn,Mountain Iron
mountain-lake_cty_mn,Mountain Lake
murdock_cty_mn,Murdock
myrtle_cty_mn,Myrtle
nashua_cty_mn,Nashua
nashwauk_cty_mn,Nashwauk
nassau_cty_mn,Nassau
nelson_cty_mn,Nelson
nerstrand_cty_mn,Nerstrand
nevis_cty_mn,Nevis
new-auburn_cty_mn,New Auburn
new-brighton_cty_mn,New Brighton
new-germany_cty_mn,New Germany
new-hope_cty_mn,New Hope
new-london_cty_mn,New London
new-munich_cty_mn,New Munich
new-prague_cty_mn,New Prague
new-richland_cty_mn,New Richland
new-trier_cty_mn,New Trier
new-ulm_cty_mn,New Ulm
new-york-mills_cty_mn,New York Mills
newfolden_cty_mn,Newfolden
newport_cty_mn,Newport
nicollet_cty_mn,Nicollet
nielsville_cty_mn,Nielsville
nimrod_cty_mn,Nimrod
nisswa_cty_mn,Nisswa
norcross_cty_mn,Norcross
north-branch_cty_mn,North Branch
north-mankato_cty_mn,North Mankato
north-oaks_cty_mn,North Oaks
north-saint-paul_cty_mn,North Saint Paul
northfield_cty_mn,Northfield
northome_cty_mn,Northome
northrop_cty_mn,Northrop
norwood-young-america_cty_mn,Norwood Young America
nowthen_cty_mn,Nowthen
oak-grove_cty_mn,Oak Grove
oak-park-heights_cty_mn,Oak Park Heights
oakdale_cty_mn,Oakdale
odessa_cty_mn,Odessa
odin_cty_mn,Odin
ogema_cty_mn,Ogema
ogilvie_cty_mn,Ogilvie
okabena_cty_mn,Okabena
oklee_cty_mn,Oklee
olivia_cty_mn,Olivia
onamia_cty_mn,Onamia
ormsby_cty_mn,Ormsby
orono_cty_mn,Orono
oronoco_cty_mn,Oronoco
orr_cty_mn,Orr
ortonville_cty_mn,Ortonville
osakis_cty_mn,Osakis
oslo_cty_mn,Oslo
osseo_cty_mn,Osseo
ostrander_cty_mn,Ostrander
otsego_cty_mn,Otsego
ottertail_cty_mn,Ottertail
owatonna_cty_mn,Owatonna
palisade_cty_mn,Palisade
park-rapids_cty_mn,Park Rapids
parkers-prairie_cty_mn,Parkers Prairie
paynesville_cty_mn,Paynesville
pease_cty_mn,Pease
pelican-rapids_cty_mn,Pelican Rapids
pemberton_cty_mn,Pemberton
pennock_cty_mn,Pennock
pequot-lakes_cty_mn,Pequot Lakes
perham_cty_mn,Perham
perley_cty_mn,Perley
peterson_cty_mn,Peterson
pierz_cty_mn,Pierz
pillager_cty_mn,Pillager
pine-city_cty_mn,Pine City
pine-island_cty_mn,Pine Island
pine-river_cty_mn,Pine River
pine-springs_cty_mn,Pine Springs
pipestone_cty_mn,Pipestone
plainview_cty_mn,Plainview
plato_cty_mn,Plato
plummer_cty_mn,Plummer
plymouth_cty_mn,Plymouth
porter_cty_mn,Porter
preston_cty_mn,Preston
princeton_cty_mn,Princeton
prinsburg_cty_mn,Prinsburg
prior-lake_cty_mn,Prior Lake
proctor_cty_mn,Proctor
quamba_cty_mn,Quamba
racine_cty_mn,Racine
ramsey_cty_mn,Ramsey
randall_cty_mn,Randall
randolph_cty_mn,Randolph
ranier_cty_mn,Ranier
raymond_cty_mn,Raymond
red-lake-falls_cty_mn,Red Lake Falls
red-wing_cty_mn,Red Wing
redwood-falls_cty_mn,Redwood Falls
regal_cty_mn,Regal
remer_cty_mn,Remer
renville_cty_mn,Renville
revere_cty_mn,Revere
rice_cty_mn,Rice
rice-lake_cty_mn,Rice Lake
richfield_cty_mn,Richfield
richmond_cty_mn,Richmond
richville_cty_mn,Richville
riverton_cty_mn,Riverton
